#SampleID	sex
700097647	male
700097648	male
700097649	male
700098124	female
700098271	female
700098273	female
700098274	female
700098275	female
700098276	female
700098277	female
700098278	female
700098279	female
700098280	female
700098281	female
700098282	female
700098283	female
700098284	female
700098285	female
700098286	female
700098287	female
700098288	female
700098359	female
700098363	female
700098365	female
700098366	female
700098367	female
700098368	female
700098369	female
700098370	female
700098371	female
700098372	female
700098373	female
700098374	female
700098376	female
700098377	female
700098378	female
700098379	female
700098380	female
700098611	female
700098673	female
700098679	female
700098681	female
700098682	female
700098932	female
700098936	female
700098938	female
700098939	female
700098940	female
700098941	female
700098942	female
700098943	female
700098944	female
700098946	female
700098947	female
700098949	female
700098950	female
700098951	female
700098952	female
700098953	female
700099002	female
700099006	female
700099008	female
700099009	female
700099010	female
700099011	female
700099012	female
700099013	female
700099014	female
700099015	female
700099016	female
700099017	female
700099018	female
700099019	female
700099020	female
700099059	female
700099063	female
700099065	female
700099066	female
700099067	female
700099068	female
700099069	female
700099070	female
700099071	female
700099072	female
700099073	female
700099074	female
700099075	female
700099076	female
700099077	female
700099078	female
700099079	female
700099080	female
700099345	female
700099346	female
700099347	female
700099395	male
700099460	female
700099529	female
700099590	male
700099594	male
700099596	male
700099597	male
700099598	male
700099599	male
700099600	male
700099601	male
700099602	male
700099603	male
700099604	male
700099605	male
700099606	male
700099607	male
700099608	male
700099746	male
700099750	male
700099752	male
700099753	male
700099754	male
700099755	male
700099756	male
700099757	male
700099758	male
700099759	male
700099760	male
700099761	male
700099762	male
700099763	male
700099971	female
700100227	female
700100231	female
700100233	female
700100234	female
700100235	female
700100236	female
700100237	female
700100238	female
700100239	female
700100240	female
700100241	female
700100242	female
700100244	female
700100245	female
700100246	female
700100247	female
700100248	female
700101638	male
700101642	male
700101644	male
700101645	male
700101646	male
700101647	male
700101648	male
700101649	male
700101650	male
700101651	male
700101652	male
700101653	male
700101654	male
700101655	male
700101656	male
700101777	female
700101784	female
700102054	male
700102103	male
700102129	female
700102242	male
700102246	male
700102248	male
700102249	male
700102250	male
700102251	male
700102252	male
700102253	male
700102254	male
700102255	male
700102256	male
700102257	male
700102258	male
700102259	male
700102260	male
700102585	female
700102589	female
700102591	female
700102592	female
700102593	female
700102594	female
700102595	female
700102596	female
700102597	female
700102598	female
700102599	female
700102600	female
700102601	female
700102602	female
700102603	female
700102604	female
700102605	female
700102606	female
700102905	male
700102909	male
700102911	male
700102912	male
700102913	male
700102914	male
700102915	male
700102916	male
700102917	male
700102918	male
700102919	male
700102920	male
700102921	male
700102922	male
700102923	male
700103271	female
700103272	female
700103273	female
700103274	female
700103275	female
700103276	female
700103277	female
700103278	female
700103279	female
700103281	female
700103282	female
700103283	female
700103284	female
700103285	female
700103286	female
700103287	female
700103288	female
700103431	male
700103433	male
700103434	male
700103435	male
700103436	male
700103437	male
700103438	male
700103439	male
700103440	male
700103441	male
700103442	male
700103445	male
700103446	male
700103479	female
700103480	female
700103481	female
700103482	female
700103490	female
700103492	female
700103494	female
700103495	female
700103496	female
700103497	female
700103559	male
700103560	male
700103562	male
700103563	male
700103564	male
700103566	male
700103567	male
700103568	male
700103569	male
700103570	male
700103571	male
700103572	male
700103573	male
700103606	male
700103608	male
700103609	male
700103610	male
700103611	male
700103612	male
700103616	male
700103617	male
700103618	male
700103619	male
700103621	male
700103654	female
700103656	female
700103657	female
700103658	female
700103660	female
700103662	female
700103663	female
700103664	female
700103665	female
700103668	female
700103669	female
700103670	female
700103671	female
700103672	female
700105031	female
700105032	female
700105033	female
700105035	female
700105037	female
700105038	female
700105041	female
700105043	female
700105044	female
700105045	female
700105046	female
700105047	female
700105048	female
700105049	female
700105088	female
700105089	female
700105090	female
700105091	female
700105094	female
700105095	female
700105099	female
700105102	female
700105103	female
700105105	female
700105145	female
700105146	female
700105147	female
700105148	female
700105149	female
700105150	female
700105151	female
700105152	female
700105153	female
700105154	female
700105156	female
700105157	female
700105158	female
700105159	female
700105160	female
700105161	female
700105162	female
700105163	female
700105202	female
700105203	female
700105207	female
700105208	female
700105209	female
700105210	female
700105211	female
700105213	female
700105214	female
700105215	female
700105216	female
700105217	female
700105218	female
700105219	female
700105220	female
700105259	male
700105260	male
700105263	male
700105264	male
700105266	male
700105268	male
700105269	male
700105270	male
700105271	male
